CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Account_Opening_Duration,Product_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total _Amount _Of_Transactions,Number_Of_Transactions,Avg_Utilization_Ratio
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5," $2,451.00 "," $1,690.00 ", $761.00 ,1596,26,0.69
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1," $8,923.00 "," $2,517.00 "," $6,406.00 ",1589,24,0.282
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2," $2,650.00 "," $1,490.00 "," $1,160.00 ",1411,28,0.562
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2," $12,555.00 "," $1,696.00 "," $10,859.00 ",1291,24,0.135
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2," $3,520.00 "," $1,914.00 "," $1,606.00 ",1407,43,0.544
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2," $3,035.00 "," $2,298.00 ", $737.00 ,1877,37,0.757
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2," $32,426.00 ", $578.00 ," $31,848.00 ",1109,28,0.018
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2," $17,304.00 "," $2,517.00 "," $14,787.00 ",1756,33,0.145
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2," $2,283.00 "," $1,430.00 ", $853.00 ,1741,27,0.626
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2," $2,548.00 "," $2,020.00 ", $528.00 ,1719,27,0.793
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3," $19,458.00 "," $1,435.00 "," $18,023.00 ",1217,27,0.074
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1," $4,745.00 "," $1,227.00 "," $3,518.00 ",1140,40,0.259
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3," $1,438.30 ", $808.00 , $630.30 ,705,19,0.562
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4," $3,171.00 "," $2,179.00 ", $992.00 ,1946,38,0.687
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2," $2,802.00 "," $2,363.00 ", $439.00 ,1295,40,0.843
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2," $4,458.00 "," $1,880.00 "," $2,578.00 ",1424,29,0.422
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4," $3,336.00 "," $1,753.00 "," $1,583.00 ",1168,27,0.525
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3," $5,926.00 "," $1,251.00 "," $4,675.00 ",1316,28,0.211
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4," $23,957.00 "," $2,102.00 "," $21,855.00 ",1276,26,0.088
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2," $14,734.00 "," $1,634.00 "," $13,100.00 ",1289,23,0.111
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1," $34,516.00 "," $1,515.00 "," $33,001.00 ",1293,32,0.044
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3," $6,584.00 "," $1,817.00 "," $4,767.00 ",1353,35,0.276
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3," $2,084.00 "," $1,468.00 ", $616.00 ,1132,28,0.704
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2," $1,687.00 "," $1,107.00 ", $580.00 ,1670,17,0.656
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2," $25,300.00 "," $1,330.00 "," $23,970.00 ",837,15,0.053
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2," $34,516.00 "," $1,763.00 "," $32,753.00 ",1550,41,0.051
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3," $2,216.00 "," $1,034.00 "," $1,182.00 ",1540,36,0.467
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2," $22,913.00 "," $1,528.00 "," $21,385.00 ",1394,35,0.067
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3," $24,312.00 "," $1,932.00 "," $22,380.00 ",1341,24,0.079
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3," $5,272.00 "," $1,515.00 "," $3,757.00 ",1289,33,0.287
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4," $7,000.00 "," $2,517.00 "," $4,483.00 ",1112,23,0.36
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4," $7,038.00 "," $1,801.00 "," $5,237.00 ",2339,57,0.256
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1," $2,536.00 "," $1,823.00 ", $713.00 ,1468,23,0.719
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3," $28,904.00 "," $1,899.00 "," $27,005.00 ",1334,35,0.066
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4," $8,567.00 "," $1,695.00 "," $6,872.00 ",1457,41,0.198
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4," $34,516.00 "," $1,219.00 "," $33,297.00 ",1590,27,0.035
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3," $3,085.00 "," $1,910.00 "," $1,175.00 ",1531,35,0.619
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2," $19,040.00 "," $2,056.00 "," $16,984.00 ",1212,31,0.108
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3," $12,756.00 ", $837.00 ," $11,919.00 ",1413,14,0.066
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3," $31,302.00 "," $1,953.00 "," $29,349.00 ",1564,35,0.062
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4," $2,664.00 "," $2,037.00 ", $627.00 ,1286,29,0.765
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4," $1,709.00 ", $895.00 , $814.00 ,1673,32,0.524
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4," $3,454.00 "," $1,200.00 "," $2,254.00 ",1313,30,0.347
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3," $3,789.00 "," $1,706.00 "," $2,083.00 ",1609,42,0.45
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2," $9,689.00 "," $2,250.00 "," $7,439.00 ",1158,19,0.232
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2," $2,940.00 "," $1,264.00 "," $1,676.00 ",1259,33,0.43
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3," $3,031.00 "," $1,879.00 "," $1,152.00 ",1298,15,0.62
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3," $8,358.00 ", $926.00 ," $7,432.00 ",1566,37,0.111
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1," $34,516.00 ", $931.00 ," $33,585.00 ",1022,21,0.027
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2," $14,450.00 "," $2,440.00 "," $12,010.00 ",1235,30,0.169
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3," $8,466.00 "," $1,886.00 "," $6,580.00 ",1342,32,0.223
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1," $3,263.00 "," $1,674.00 "," $1,589.00 ",1251,35,0.513
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2," $1,494.00 ", $706.00 , $788.00 ,1305,24,0.473
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1," $13,551.00 "," $1,294.00 "," $12,257.00 ",1388,37,0.095
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2," $18,886.00 ", $895.00 ," $17,991.00 ",1235,18,0.047
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,4,1," $9,964.00 "," $1,559.00 "," $8,405.00 ",1626,25,0.156
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6," $24,159.00 "," $1,196.00 "," $22,963.00 ",1111,24,0.05
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,3,2," $5,362.00 "," $1,901.00 "," $3,461.00 ",1553,38,0.355
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2," $34,516.00 "," $1,023.00 "," $33,493.00 ",1064,13,0.03
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1," $3,174.00 "," $1,951.00 "," $1,223.00 ",1243,29,0.615
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,3,2," $12,262.00 "," $1,836.00 "," $10,426.00 ",1659,38,0.15
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3," $3,788.00 "," $1,540.00 "," $2,248.00 ",1594,47,0.407
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3," $34,516.00 "," $1,527.00 "," $32,989.00 ",1268,42,0.044
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3," $11,669.00 "," $2,227.00 "," $9,442.00 ",720,23,0.191
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,3,1," $13,532.00 "," $1,300.00 "," $12,232.00 ",1521,29,0.096
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1," $2,393.00 "," $1,985.00 ", $408.00 ,978,16,0.83
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2," $19,270.00 "," $1,662.00 "," $17,608.00 ",1565,28,0.086
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1," $3,710.00 "," $2,517.00 "," $1,193.00 ",1578,34,0.678
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1," $3,235.00 ", $797.00 ," $2,438.00 ",1493,32,0.246
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1," $11,749.00 ", $788.00 ," $10,961.00 ",1178,27,0.067
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3," $7,753.00 "," $2,100.00 "," $5,653.00 ",991,26,0.271
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,5,1," $10,408.00 "," $1,186.00 "," $9,222.00 ",2560,42,0.114
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2," $6,205.00 "," $2,517.00 "," $3,688.00 ",1204,19,0.406
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3," $14,926.00 "," $2,517.00 "," $12,409.00 ",1576,25,0.169
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,3,2," $6,335.00 "," $1,128.00 "," $5,207.00 ",1217,20,0.178
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,6,3," $2,250.00 "," $2,117.00 ", $133.00 ,1617,31,0.941
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2," $10,916.00 "," $1,536.00 "," $9,380.00 ",1592,34,0.141
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,4,1," $9,366.00 "," $1,104.00 "," $8,262.00 ",1303,39,0.118
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2," $2,405.00 "," $1,540.00 ", $865.00 ,1087,29,0.64
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,4,2," $2,154.00 ", $930.00 ," $1,224.00 ",1439,26,0.432
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1," $9,364.00 ", $618.00 ," $8,746.00 ",1099,27,0.066
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3," $3,195.00 "," $1,954.00 "," $1,241.00 ",1285,29,0.612
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,5,2," $2,852.00 "," $1,024.00 "," $1,828.00 ",1651,28,0.359
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2," $20,459.00 "," $2,071.00 "," $18,388.00 ",1767,38,0.101
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2," $3,065.00 "," $1,570.00 "," $1,495.00 ",1130,28,0.512
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1," $2,185.00 "," $1,761.00 ", $424.00 ,1645,30,0.806
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1," $1,611.00 ", $746.00 , $865.00 ,1413,29,0.463
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3," $2,822.00 "," $2,173.00 ", $649.00 ,1218,23,0.77
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3," $32,975.00 "," $2,517.00 "," $30,458.00 ",597,17,0.076
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6,3," $6,703.00 ", $893.00 ," $5,810.00 ",1388,28,0.133
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,3,1," $34,516.00 "," $1,260.00 "," $33,256.00 ",1504,34,0.037
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,4,1," $9,797.00 "," $1,434.00 "," $8,363.00 ",1503,34,0.146
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2," $10,400.00 "," $1,777.00 "," $8,623.00 ",1105,28,0.171
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1," $26,792.00 "," $1,836.00 "," $24,956.00 ",2398,47,0.069
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,4,3," $3,006.00 "," $2,517.00 ", $489.00 ,1661,32,0.837
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3," $19,482.00 "," $1,072.00 "," $18,410.00 ",1421,22,0.055
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2," $3,356.00 ", $985.00 ," $2,371.00 ",999,28,0.294
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2," $5,771.00 "," $2,248.00 "," $3,523.00 ",1387,18,0.39
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2," $11,106.00 "," $2,107.00 "," $8,999.00 ",1243,24,0.19
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3," $2,890.00 "," $2,001.00 ", $889.00 ,1860,36,0.692
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2," $3,380.00 "," $1,701.00 "," $1,679.00 ",1502,25,0.503
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1," $21,331.00 "," $1,251.00 "," $20,080.00 ",1460,50,0.059
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1," $6,278.00 ", $462.00 ," $5,816.00 ",1087,33,0.074
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,5,1," $1,438.30 ", $738.00 , $700.30 ,1226,33,0.513
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,5,1," $9,355.00 "," $1,626.00 "," $7,729.00 ",1230,28,0.174
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3," $14,612.00 "," $1,976.00 "," $12,636.00 ",1827,24,0.135
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2," $6,347.00 "," $1,594.00 "," $4,753.00 ",1771,37,0.251
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3," $21,592.00 "," $1,676.00 "," $19,916.00 ",1873,52,0.078
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1," $3,449.00 "," $1,598.00 "," $1,851.00 ",1679,42,0.463
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,1," $6,028.00 ", $799.00 ," $5,229.00 ",1002,22,0.133
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3," $16,393.00 "," $1,423.00 "," $14,970.00 ",1461,42,0.087
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,3," $1,438.30 ", $900.00 , $538.30 ,760,21,0.626
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,4,1," $7,871.00 "," $1,687.00 "," $6,184.00 ",1428,22,0.214
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5," $11,376.00 "," $2,006.00 "," $9,370.00 ",1302,27,0.176
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,4,5," $12,302.00 "," $1,632.00 "," $10,670.00 ",1483,41,0.133
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2," $34,516.00 "," $1,679.00 "," $32,837.00 ",1060,27,0.049
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2," $34,516.00 "," $1,468.00 "," $33,048.00 ",1330,32,0.043
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2," $10,514.00 "," $1,580.00 "," $8,934.00 ",1229,27,0.15
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1," $2,619.00 "," $1,779.00 ", $840.00 ,1450,37,0.679
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,2,3," $24,407.00 "," $2,395.00 "," $22,012.00 ",2311,48,0.098
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1," $2,377.00 "," $1,649.00 ", $728.00 ,1378,26,0.694
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3," $11,086.00 "," $2,207.00 "," $8,879.00 ",1523,40,0.199
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2," $11,432.00 "," $2,517.00 "," $8,915.00 ",1374,37,0.22
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,5,3," $13,258.00 "," $1,721.00 "," $11,537.00 ",1080,21,0.13
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,3,2," $2,571.00 "," $1,955.00 ", $616.00 ,1234,24,0.76
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5,2," $5,781.00 "," $1,168.00 "," $4,613.00 ",1600,32,0.202
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,6,1," $34,516.00 "," $1,202.00 "," $33,314.00 ",1353,33,0.035
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1," $11,127.00 "," $1,835.00 "," $9,292.00 ",1546,25,0.165
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1," $1,913.00 "," $1,272.00 ", $641.00 ,1448,22,0.665
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,5,3," $3,839.00 "," $2,295.00 "," $1,544.00 ",1271,24,0.598
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2," $2,115.00 "," $1,141.00 ", $974.00 ,1223,20,0.539
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2," $1,438.30 ", $679.00 , $759.30 ,1117,29,0.472
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,4,3," $27,756.00 "," $1,789.00 "," $25,967.00 ",994,24,0.064
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,4," $13,878.00 "," $2,222.00 "," $11,656.00 ",1658,38,0.16
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1," $3,106.00 "," $1,304.00 "," $1,802.00 ",1368,38,0.42
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,4,3," $34,516.00 "," $1,666.00 "," $32,850.00 ",1218,18,0.048
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4," $1,438.30 "," $1,025.00 ", $413.30 ,702,12,0.713
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,2," $5,207.00 "," $1,748.00 "," $3,459.00 ",1310,26,0.336
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2," $17,965.00 "," $1,644.00 "," $16,321.00 ",1767,50,0.092
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,6,3," $2,733.00 "," $1,819.00 ", $914.00 ,933,25,0.666
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,4,3," $8,863.00 "," $1,301.00 "," $7,562.00 ",1512,27,0.147
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3," $1,857.00 "," $1,833.00 ", $24.00 ,829,17,0.987
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3," $11,107.00 "," $1,222.00 "," $9,885.00 ",1506,33,0.11
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2," $5,269.00 "," $1,475.00 "," $3,794.00 ",2094,25,0.28
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,2," $1,982.00 "," $1,289.00 ", $693.00 ,1377,49,0.65
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2," $4,645.00 "," $1,650.00 "," $2,995.00 ",1193,33,0.355
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,1," $21,304.00 "," $1,532.00 "," $19,772.00 ",1770,25,0.072
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,1," $7,577.00 "," $2,480.00 "," $5,097.00 ",1409,35,0.327
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1," $3,234.00 "," $1,486.00 "," $1,748.00 ",1354,28,0.459
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,5,3," $4,469.00 "," $1,125.00 "," $3,344.00 ",1765,34,0.252
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4," $3,616.00 "," $1,054.00 "," $2,562.00 ",687,17,0.291
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3,2," $3,252.00 "," $1,495.00 "," $1,757.00 ",1227,15,0.46
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,4,3," $2,358.00 "," $1,152.00 "," $1,206.00 ",1737,26,0.489
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2," $3,133.00 "," $1,510.00 "," $1,623.00 ",1435,38,0.482
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,2,3," $3,540.00 ", $849.00 ," $2,691.00 ",1321,28,0.24
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3," $6,990.00 "," $1,378.00 "," $5,612.00 ",1479,29,0.197
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5,1," $5,214.00 ", $795.00 ," $4,419.00 ",1258,23,0.152
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2," $5,207.00 "," $1,650.00 "," $3,557.00 ",1339,20,0.317
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,3,3," $2,290.00 "," $1,434.00 ", $856.00 ,1119,18,0.626
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40,4,3," $6,363.00 "," $1,029.00 "," $5,334.00 ",1542,16,0.162
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,4,3," $8,029.00 "," $1,576.00 "," $6,453.00 ",1094,32,0.196
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,2," $2,410.00 "," $1,769.00 ", $641.00 ,1217,30,0.734
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4,2," $2,260.00 "," $1,007.00 "," $1,253.00 ",1614,33,0.446
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5,2," $17,682.00 "," $2,481.00 "," $15,201.00 ",1747,31,0.14
